community_area,zip_codes,population,latitude,longitude,community_area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment
West Elsdon,"60629, 60632","19,363",41.7900°N,87.7200°W,West Elsdon,20.8,92.3,4.6,81.2,7.5,45.5,5.9,12.1,180.6,11.5,68.5,7.7,8.1,57.8,44.7,42.6,115.9,4.5,9.8,8.7,38.7,39.6,16938,13.5
Gage Park,"60609, 60629, 60632, 60636","39,302",41.7900°N,87.6900°W,Gage Park,21.8,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171.0,13.6,65.0,11.1,5.4,34.1,41.1,51.2,149.2,7.0,20.8,17.4,40.4,54.1,12014,14.0
Clearing,"60629, 60638","24,962",41.7800°N,87.7600°W,Clearing,14.6,68.3,7.4,85.8,8.0,38.7,9.4,23.6,189.4,22.5,72.0,12.7,6.7,58.6,18.7,53.5,.,0.9,5.9,3.4,36.4,18.5,23920,9.6
West Lawn,60629,"32,749",41.7700°N,87.7200°W,West Lawn,18.8,83.3,7.6,83.5,8.3,44.6,10.7,16.9,145.1,15.7,61.5,8.8,8.4,36.7,19.7,43.1,87.2,4.3,15.3,6.8,41.9,33.4,15898,7.8
Chicago Lawn,"60629, 60636","55,551",41.7700°N,87.6900°W,Chicago Lawn,20.1,85.3,9.4,78.4,10.8,67.4,22.4,25.0,179.3,26.1,73.0,19.4,11.1,42.9,22.1,61.7,1159.9,5.3,22.2,6.5,40.0,31.6,14405,11.9
West Englewood,60636,"32,156",41.77583°N,87.66417°W,West Englewood,20.3,93.3,16.1,63.6,13.8,116.9,47.2,39.2,247.6,24.4,88.2,39.3,13.3,66.3,75.0,64.6,2545.7,10.9,32.3,6.9,40.9,30.3,10559,34.7
Englewood,60621,23792,41.78000°N,87.64500°W,Englewood,20.0,85.8,14.5,69.7,13.1,105.3,45.1,32.9,252.2,30.2,101.8,44.9,13.4,76.8,57.7,71.6,2323.5,11.3,42.2,4.8,43.4,29.4,11993,21.3
Greater Grand Crossing,"60619, 60620, 60621, 60637",32346,41.7600°N,87.6100°W,Greater Grand Crossing,18.2,82.4,12.9,72.3,15.1,84.3,49.7,29.1,274.4,31.5,92.3,44.6,14.2,77.5,70.3,58.2,2034.2,4.8,25.6,4.2,42.9,17.9,17213,18.9
Ashburn,60652,42752,41.7500°N,87.7100°W,Ashburn,14.7,69.0,9.0,82.4,11.3,38.3,12.4,37.2,229.3,22.8,80.1,11.6,10.2,62.8,44.5,47.4,602.9,4.4,9.5,4.2,36.7,18.3,22078,8.8
Auburn Gresham,60620,45842,41.7400°N,87.6600°W,Auburn Gresham,15.1,70.5,11.6,71.8,13.9,83.1,37.6,41.9,243.0,24.5,83.6,32.6,15.6,65.1,43.5,63.7,1986.7,7.3,24.5,4.1,42.1,19.5,16022,24.2
Beverly,"60620, 60643, 60655",20437,41.7100°N,87.6800°W,Beverly,11.0,60.7,4.9,84.8,9.9,11.9,3.5,42.0,197.6,24.8,59.6,3.5,10.0,47.9,44.7,57.2,469.5,0.0,5.2,0.7,38.7,5.1,40107,7.8
Washington Heights,"60620, 60628, 60643",27453,41.70383°N,87.65367°W,Washington Heights,12.0,61.0,19.6,75.4,16.2,65.0,38.0,47.9,260.6,29.7,79.5,35.6,11.2,70.0,56.2,57.6,1274.2,3.0,15.7,1.1,42.4,15.6,19709,18.3
Mount Greenwood,60655,"18,783",41.7000°N,87.7100°W,Mount Greenwood,12.5,59.0,8.4,94.5,15.1,7.7,2.2,34.6,201.1,24.8,66.5,7.4,3.3,55.0,16.9,26.7,.,0.0,3.1,1.1,37.0,4.5,34221,6.9
Morgan Park,"60643, 60655","22,924",41.6900°N,87.6700°W,Morgan Park,13.2,67.5,10.6,74.5,12.3,46.7,19.9,32.4,218.2,27.1,75.4,15.8,13.1,50.0,39.8,47.9,741.1,2.6,13.7,0.8,39.4,10.9,26185,14.9
O'Hare,"60656, 60666",12377,42.0000°N,87.9200°W,O'Hare,15.8,70.0,3.5,82.0,5.0,15.9,5.6,20.5,138.5,8.7,47.3,11.8,2.0,37.4,2.8,40.4,.,6.3,9.5,1.9,26.5,11.0,29402,4.7
Edgewater,"60660,60640",57022,41.9900°N,87.6600°W,Edgewater,12.1,48.1,7.5,76.1,7.4,15.1,5.8,18.5,162.0,16.2,48.8,3.9,6.9,40.1,23.7,31.5,427.5,10.5,16.6,3.9,23.4,9.0,33364,9.0
